Date,v12_signal,v17_signal,calm_bull_trigger,spy_above_trend,spy_momentum_13w,spy_rv_26w,spy_rv_ref_55p,vix,vix_ma_52w,yc_pos_steep,t10y2y,t10y2y_chg_13w,tier_intersection,tier_cb_only,tier_yc_only,tier_nervous_market
2022-12-09,1.0,1.15,0,0,-0.028786041882912228,0.2571084691128073,0.1761348379681819,22.829999923706055,25.173461583944466,0,-0.76,-0.53,0,0,0,1
2022-12-16,1.0,1.15,0,0,-0.0013744778108220057,0.24469834705941426,0.1761348379681819,22.6200008392334,25.193653913644646,0,-0.69,-0.2899999999999999,0,0,0,1
2022-12-23,1.0,1.15,0,0,0.04543619464775439,0.22616331359755354,0.1761348379681819,20.8700008392334,25.24961548585158,0,-0.56,-0.050000000000000044,0,0,0,1
2022-12-30,0.6,0.6,0,0,0.0756094438162056,0.22369630567664978,0.17749597663016184,21.670000076293945,25.335192423600418,0,-0.53,-0.14,0,0,0,0
2023-01-06,0.6,0.6,0,0,0.07462202527791484,0.22298022370253703,0.1789568342810215,21.1299991607666,25.38076932613666,0,-0.69,-0.27999999999999997,0,0,0,0
2023-01-13,1.0,1.0,0,1,0.11939688432202011,0.22546382933683706,0.1813504344212095,18.350000381469727,25.364615477048435,0,-0.73,-0.25,0,0,0,0
2023-01-20,1.0,1.0,0,1,0.06253928207322534,0.22301169640799892,0.1825831723974284,19.850000381469727,25.19153855397151,0,-0.66,-0.38,0,0,0,0
2023-01-27,1.0,1.0,0,1,0.047614068221481176,0.21735282201073738,0.1825831723974284,18.510000228881836,25.015577022845928,0,-0.67,-0.28,0,0,0,0
2023-02-03,1.0,1.0,0,1,0.1006869684521694,0.2185293096122114,0.1825831723974284,18.329999923706055,24.921538573044998,0,-0.77,-0.28,0,0,0,0
2023-02-10,1.0,1.15,0,1,0.02861580188741697,0.21375762237482615,0.1825831723974284,20.530000686645508,24.790192420666035,0,-0.76,-0.24,0,0,0,1
2023-02-17,1.0,1.15,0,1,0.03307881136731816,0.21319523173826205,0.1825831723974284,20.020000457763672,24.641538583315334,0,-0.78,-0.09000000000000008,0,0,0,1
