,v12_signal,v17_signal,calm_bull_trigger,spy_above_trend,spy_momentum_13w,spy_rv_26w,spy_rv_ref_55p,vix,vix_ma_52w,yc_pos_steep,t10y2y,t10y2y_chg_13w,tier_intersection,tier_cb_only,tier_cb_weak,tier_cb_strong,tier_yc_only,spy_ma20,spy_dd_52w,vix3m,vix_contango,hy_oas,hy_oas_ma_26w,hy_oas_chg_4w,credit_ok,tier_nervous_market
2010-04-23,1.0,1.0,1,1,0.11996701890138883,0.13800402788221294,0.20117528513537394,16.6200008392334,23.899423195765568,0,2.74,-0.03999999999999959,0,1,1,0,0,84.91397438049316,0.0,19.389999389648438,1,,,,0,0
2010-04-30,1.0,1.0,1,1,0.11089712603259039,0.12758008007415259,0.2006836772113364,22.049999237060547,23.644615503457878,0,2.72,-0.08999999999999986,0,1,1,0,0,85.24260368347169,-0.024628543136464898,23.670000076293945,1,,,,0,0
2010-05-07,1.7,1.7,0,1,0.04742333246082753,0.15429415483550707,0.1977232108134627,40.95000076293945,23.815769378955547,0,2.62,-0.19999999999999973,0,0,0,0,0,85.29902572631836,-0.08661022941628072,36.619998931884766,0,,,,0,0
2010-05-14,1.3,1.3,0,1,0.05848728113279078,0.15440813404919523,0.19476274441558897,31.239999771118164,23.779615548940804,0,2.65,-0.20000000000000018,0,0,0,0,0,85.36932182312012,-0.06501913379349811,30.799999237060547,0,,,,0,0
2010-05-21,0.6,0.6,0,0,-0.014222102830053096,0.16647760088541183,0.1938967178238841,40.099998474121094,23.923269345210148,0,2.44,-0.3900000000000001,0,0,0,0,0,85.29896507263183,-0.10426035464481875,37.400001525878906,0,,,,0,0
2010-05-28,0.6,0.6,0,0,-0.008303912287762616,0.16649548545953327,0.19329249620795033,32.06999969482422,23.983846260951115,0,2.55,-0.25,0,0,0,0,0,85.12127494812012,-0.10212609654689697,32.0,0,,,,0,0
2010-06-04,0.6,0.6,0,0,-0.061182685021058614,0.16873058247551403,0.19268335548980906,35.47999954223633,24.096538543701172,0,2.48,-0.2999999999999998,0,0,0,0,0,84.88258628845215,-0.12306043324247251,34.369998931884766,0,,,,0,0
2010-06-11,0.6,0.6,0,0,-0.0461489046855853,0.17319649112985347,0.192071755220564,28.790000915527344,24.108846260951115,0,2.49,-0.25,0,0,0,0,0,84.91706657409668,-0.09958125991172018,30.950000762939453,1,,,,0,0
2010-06-18,1.0,1.3,0,1,-0.03197735586363604,0.17624430225173518,0.1916419320595967,23.950000762939453,24.031153972332294,0,2.5,-0.18000000000000016,0,0,0,0,0,85.11661376953126,-0.07838765433272066,27.959999084472656,1,,,,0,1
2010-06-25,0.6,0.6,0,0,-0.07031050200309263,0.1807894074414801,0.19143933028397658,28.530000686645508,24.08115397966825,0,2.47,-0.34999999999999964,0,0,0,0,0,85.19777984619141,-0.110227040343989,30.700000762939453,1,,,,0,0
2010-07-02,0.6,0.6,0,0,-0.1283000631703226,0.19475726370347507,0.19168695467640115,30.1200008392334,24.12288475036621,0,2.37,-0.46999999999999975,0,0,0,0,0,85.01330757141113,-0.15699647919525606,33.290000915527344,1,,,,0,0
2010-07-09,1.5,1.5,0,0,-0.09265096828507191,0.20770548217661533,0.19234357756245068,24.979999542236328,24.045192425067608,0,2.44,-0.3799999999999999,0,0,0,0,0,84.93026657104492,-0.10948499779371346,28.170000076293945,1,,,,0,0
2010-07-16,1.5,1.5,0,0,-0.10214949658023031,0.20803777589889347,0.19309108900263908,26.25,24.081923191363995,0,2.35,-0.45999999999999996,0,0,0,0,0,84.81312446594238,-0.12020797532760619,30.600000381469727,1,,,,0,0
2010-07-23,1.5,1.5,0,0,-0.08927578030972039,0.20681363722826734,0.19382958208878034,23.469999313354492,24.089230867532585,0,2.42,-0.3200000000000003,0,0,0,0,0,84.70620803833008,-0.08927578030972039,26.989999771118164,1,,,,0,0
2010-07-30,1.5,1.5,0,0,-0.06746398220899208,0.20519327512320748,0.1944661497045902,23.5,24.04269240452693,0,2.39,-0.33000000000000007,0,0,0,0,0,84.54873771667481,-0.09043098574946506,27.139999389648438,1,,,,0,0
2010-08-06,1.5,1.5,0,1,0.014962182681906189,0.2062355528385344,0.19464405270390875,21.739999771118164,23.98461547264686,0,2.36,-0.26000000000000023,0,0,0,0,0,84.43433952331543,-0.07294392480902268,26.1200008392334,1,,,,0,0
2010-08-13,1.5,1.5,0,0,-0.04447031375845978,0.2128286041133919,0.19600833454722233,26.239999771118164,24.022500074826755,0,2.14,-0.5099999999999998,0,0,0,0,0,84.14302978515624,-0.10659802627185766,29.969999313354492,1,,,,0,0
2010-08-20,1.5,1.5,0,0,-0.009792233111995063,0.2090854680673557,0.1994487793675272,25.489999771118164,24.031730835254375,0,2.13,-0.31000000000000005,0,0,0,0,0,83.77645263671874,-0.11303164605979243,29.540000915527344,1,,,,0,0
2010-08-27,1.5,1.5,0,0,-0.018301265180837634,0.20919914772708073,0.20113461833208326,24.450000762939453,24.025769307063175,0,2.1,-0.44999999999999973,0,0,0,0,0,83.31884498596192,-0.11855832495294605,28.399999618530273,1,,,,0,0
2010-09-03,1.5,1.5,0,0,0.04304045792397582,0.21129508352127654,0.20135828575018203,21.309999465942383,23.949807753929726,0,2.2,-0.2799999999999998,0,0,0,0,0,83.02048454284667,-0.08531655271757554,25.309999465942383,1,,,,0,0
2010-09-10,1.5,1.5,0,1,0.021247291279830716,0.21085634285382807,0.20142846140594012,21.989999771118164,23.908269295325645,0,2.23,-0.26000000000000023,0,0,0,0,0,82.65235977172851,-0.08044980066724639,25.59000015258789,1,,,,0,0
2010-09-17,1.5,1.5,0,1,0.01219232440596052,0.2115539487789779,0.20144107765082045,22.010000228881836,23.87153852902926,0,2.27,-0.22999999999999998,0,0,0,0,0,82.45778388977051,-0.06715105763780704,25.1200008392334,1,,,,0,0
2010-09-24,1.5,1.5,0,1,0.07012811501399874,0.21352833371275293,0.20147917633449536,21.709999084472656,23.796538499685433,0,2.17,-0.30000000000000027,0,0,0,0,0,82.63524055480957,-0.04782893989288606,24.75,1,,,,0,0
2010-10-01,1.5,1.5,0,1,0.12743197376121618,0.2130096285493375,0.20153332508612143,22.5,23.677692339970516,0,2.12,-0.25,0,0,0,0,0,82.70592918395997,-0.04957087665145321,25.700000762939453,1,,,,0,0
2010-10-08,1.0,1.3,0,1,0.08525283779663417,0.21332034258540392,0.20172249207846463,20.709999084472656,23.631346152378963,0,2.06,-0.3799999999999999,0,0,0,0,0,83.02941436767578,-0.0335660667551515,24.059999465942383,1,,,,0,1
2010-10-15,1.0,1.0,0,1,0.1094139657371096,0.21378454100812203,0.2023339541703241,19.030000686645508,23.585192313561073,0,2.22,-0.1299999999999999,0,0,0,0,0,83.38715133666992,-0.02394644088431863,23.200000762939453,1,,,,0,0
2010-10-22,1.0,1.0,0,1,0.07765235598681919,0.21187289915538948,0.20407153652756033,18.780000686645508,23.518076933347263,0,2.24,-0.17999999999999972,0,0,0,0,0,83.8653465270996,-0.018555898996512665,21.649999618530273,1,,,,0,0
